MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
27299286,19-05-2023 15:00,230.18 V,229.03 V,230.98 V,16.21 A,16.37 A,16.18 A,5.6 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,5.62 kVAh Abs,0.996,1,2
27299286,19-05-2023 15:30,230.26 V,229.46 V,231.19 V,12.33 A,12.48 A,12.3 A,4.26 kWh Abs,0.36 kVArh+ Abs,0 kVArh- Abs,4.27 kVAh Abs,0.998,1,2
27299286,19-05-2023 16:00,231.15 V,230.56 V,232.03 V,9.86 A,10.01 A,9.82 A,3.42 kWh Abs,0.38 kVArh+ Abs,0 kVArh- Abs,3.44 kVAh Abs,0.994,1,2
27299286,19-05-2023 16:30,231.87 V,231.83 V,233.1 V,8.58 A,8.73 A,8.54 A,2.98 kWh Abs,0.4 kVArh+ Abs,0 kVArh- Abs,3.01 kVAh Abs,0.99,1,2
27299286,19-05-2023 17:00,229.62 V,230.5 V,231.66 V,6.14 A,6.29 A,6.08 A,2.09 kWh Abs,0.42 kVArh+ Abs,0 kVArh- Abs,2.13 kVAh Abs,0.981,1,2
27299286,19-05-2023 17:30,229.98 V,231.15 V,231.75 V,4.1 A,4.25 A,4.05 A,1.37 kWh Abs,0.43 kVArh+ Abs,0 kVArh- Abs,1.44 kVAh Abs,0.951,1,2
27299286,19-05-2023 18:00,232.48 V,232.26 V,232.65 V,2.66 A,2.79 A,2.64 A,0.83 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,0.94 kVAh Abs,0.883,1,2
27299286,19-05-2023 18:30,233.9 V,234.49 V,235.04 V,1.71 A,1.86 A,1.74 A,0.41 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.62 kVAh Abs,0.661,1,2
27299286,19-05-2023 19:00,231 V,231.63 V,232.43 V,1.3 A,1.47 A,1.4 A,0.13 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.49 kVAh Abs,0.265,1,2
27299286,19-05-2023 19:30,229.16 V,230.65 V,230.84 V,1.23 A,1.37 A,1.36 A,0.04 kWh Abs,0.07 kVArh+ Abs,0.38 kVArh- Abs,0.05 kVAh Abs,-0.8,1,2
27299286,19-05-2023 20:00,228.86 V,229.19 V,229.44 V,0.21 A,0.21 A,0.21 A,0.01 kWh Abs,0 kVArh+ Abs,0.08 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 20:30,229.09 V,229.87 V,230.05 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 21:00,228.46 V,229.76 V,229.96 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 21:30,228.22 V,229.36 V,229.98 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 22:00,228.03 V,229.42 V,228.9 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,19-05-2023 22:30,228.2 V,229.73 V,228.65 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,19-05-2023 23:00,227.09 V,228.08 V,227.63 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
