MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
27299286,27-05-2023 10:30,236.21 V,238.74 V,238.9 V,8.2 A,8.32 A,8.06 A,2.56 kWh Abs,0.35 kVArh+ Abs,0 kVArh- Abs,2.59 kVAh Abs,0.988,1,2
27299286,27-05-2023 11:00,235.61 V,237.88 V,237.84 V,13.1 A,13.2 A,12.95 A,4.64 kWh Abs,0.38 kVArh+ Abs,0 kVArh- Abs,4.65 kVAh Abs,0.998,1,2
27299286,27-05-2023 11:30,236.43 V,237.58 V,237.38 V,21.51 A,21.57 A,21.32 A,7.64 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,7.64 kVAh Abs,1,1,2
27299286,27-05-2023 12:00,236.38 V,236.59 V,237.2 V,24.04 A,24.12 A,23.84 A,0.87 kWh Abs,0.03 kVArh+ Abs,0 kVArh- Abs,0.88 kVAh Abs,0.989,1,2
27299286,27-05-2023 12:30,234.12 V,234.77 V,235.79 V,23.78 A,23.85 A,23.58 A,8.3 kWh Abs,0.25 kVArh+ Abs,0 kVArh- Abs,8.3 kVAh Abs,1,1,2
27299286,27-05-2023 13:00,236.39 V,236.38 V,238.1 V,24.68 A,24.8 A,24.5 A,8.77 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,8.77 kVAh Abs,1,1,2
27299286,27-05-2023 13:30,237.87 V,237.64 V,238.7 V,22.71 A,22.83 A,22.56 A,8.1 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,8.11 kVAh Abs,0.999,1,2
27299286,27-05-2023 14:00,236.76 V,236.39 V,237.2 V,22.48 A,22.59 A,22.33 A,7.98 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,7.99 kVAh Abs,0.999,1,2
27299286,27-05-2023 14:30,234.25 V,234.06 V,235.32 V,21.07 A,21.18 A,20.92 A,7.41 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,7.41 kVAh Abs,1,1,2
27299286,27-05-2023 15:00,232.63 V,232.78 V,233.18 V,17.83 A,17.92 A,17.72 A,6.22 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,6.23 kVAh Abs,0.998,1,2
27299286,27-05-2023 15:30,232.08 V,232.22 V,233.11 V,14.39 A,14.48 A,14.29 A,5.01 kWh Abs,0.34 kVArh+ Abs,0 kVArh- Abs,5.02 kVAh Abs,0.998,1,2
27299286,27-05-2023 16:00,233.86 V,233.88 V,235.09 V,11.04 A,11.12 A,10.93 A,3.86 kWh Abs,0.37 kVArh+ Abs,0 kVArh- Abs,3.88 kVAh Abs,0.995,1,2
27299286,27-05-2023 16:30,235.27 V,235.57 V,237.2 V,9.44 A,9.52 A,9.33 A,3.32 kWh Abs,0.4 kVArh+ Abs,0 kVArh- Abs,3.34 kVAh Abs,0.994,1,2
27299286,27-05-2023 17:00,234.83 V,235.52 V,236.68 V,6.86 A,6.93 A,6.74 A,2.38 kWh Abs,0.42 kVArh+ Abs,0 kVArh- Abs,2.42 kVAh Abs,0.983,1,2
27299286,27-05-2023 17:30,232.92 V,234.16 V,235.13 V,4.4 A,4.51 A,4.29 A,1.49 kWh Abs,0.43 kVArh+ Abs,0 kVArh- Abs,1.55 kVAh Abs,0.961,1,2
27299286,27-05-2023 18:00,232.48 V,233.54 V,234.26 V,2.98 A,3.09 A,2.89 A,0.94 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.05 kVAh Abs,0.895,1,2
27299286,27-05-2023 18:30,233.84 V,234.97 V,235.55 V,1.84 A,2.03 A,1.85 A,0.49 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.67 kVAh Abs,0.731,1,2
27299286,27-05-2023 19:00,233.32 V,235.21 V,235.44 V,1.34 A,1.58 A,1.45 A,0.19 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.52 kVAh Abs,0.365,1,2
27299286,27-05-2023 19:30,232.12 V,234.39 V,234.58 V,1.24 A,1.43 A,1.38 A,0.03 kWh Abs,0.16 kVArh+ Abs,0.32 kVArh- Abs,0.11 kVAh Abs,-0.273,1,2
27299286,27-05-2023 20:00,229.77 V,232.22 V,232.29 V,0.33 A,0.35 A,0.34 A,0.01 kWh Abs,0 kVArh+ Abs,0.12 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,27-05-2023 20:30,230.83 V,233.12 V,232.97 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,27-05-2023 21:00,231.23 V,234.06 V,233.36 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,27-05-2023 21:30,233.16 V,234.82 V,233.86 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,27-05-2023 22:00,233.34 V,235.12 V,235.08 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,27-05-2023 22:30,232.06 V,234.17 V,233.92 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,27-05-2023 23:00,231.47 V,233.61 V,233.48 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,27-05-2023 23:30,231.11 V,233.37 V,233.55 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 00:00,231.77 V,234.61 V,234.99 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 00:30,232.45 V,235.39 V,235.39 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 01:00,232.99 V,235.72 V,235.92 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 01:30,234.05 V,236.73 V,236.98 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 02:00,235.11 V,237.1 V,237.82 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 02:30,236.07 V,238.09 V,238.81 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 03:00,237.12 V,239.46 V,239.92 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 03:30,236.82 V,239.5 V,239.53 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 04:00,236.88 V,239.73 V,239.66 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 04:30,237.7 V,240.2 V,240.26 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 05:00,237.5 V,240.17 V,240.1 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 05:30,236.57 V,239.42 V,239.29 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 06:00,236.61 V,238.97 V,239.25 V,1.17 A,1.34 A,1.26 A,0.06 kWh Abs,0.35 kVArh+ Abs,0.09 kVArh- Abs,0.28 kVAh Abs,0.214,1,2
27299286,28-05-2023 06:30,237.43 V,239.85 V,239.96 V,1.53 A,1.78 A,1.59 A,0.33 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,0.59 kVAh Abs,0.559,1,2
27299286,28-05-2023 07:00,239.02 V,241.54 V,241.71 V,2.18 A,2.37 A,2.13 A,0.64 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,0.8 kVAh Abs,0.8,1,2
27299286,28-05-2023 07:30,239.69 V,241.43 V,242.22 V,3.1 A,3.21 A,2.98 A,1.02 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,1.13 kVAh Abs,0.903,1,2
27299286,28-05-2023 08:00,240.08 V,241.72 V,242.3 V,4.34 A,4.44 A,4.22 A,1.5 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,1.57 kVAh Abs,0.955,1,2
27299286,28-05-2023 08:30,240.24 V,241.58 V,242.15 V,6.34 A,6.42 A,6.22 A,2.25 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,2.29 kVAh Abs,0.983,1,2
27299286,28-05-2023 09:00,238.53 V,240.11 V,240.19 V,8.07 A,8.14 A,7.94 A,2.86 kWh Abs,0.43 kVArh+ Abs,0 kVArh- Abs,2.9 kVAh Abs,0.986,1,2
27299286,28-05-2023 09:30,237.68 V,239.36 V,239.54 V,11.49 A,11.56 A,11.36 A,4.1 kWh Abs,0.38 kVArh+ Abs,0 kVArh- Abs,4.11 kVAh Abs,0.998,1,2
27299286,28-05-2023 10:00,236.28 V,238.42 V,238.14 V,14.03 A,14.1 A,13.9 A,4.98 kWh Abs,0.36 kVArh+ Abs,0 kVArh- Abs,5 kVAh Abs,0.996,1,2
27299286,28-05-2023 10:30,235.81 V,237.85 V,237.96 V,17.77 A,17.83 A,17.63 A,6.31 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.31 kVAh Abs,1,1,2
27299286,28-05-2023 11:00,236.14 V,236.88 V,236.08 V,17.68 A,17.75 A,17.56 A,6.26 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.27 kVAh Abs,0.998,1,2
27299286,28-05-2023 11:30,235.79 V,236.3 V,237 V,20.02 A,20.11 A,19.87 A,7.08 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,7.1 kVAh Abs,0.997,1,2
27299286,28-05-2023 12:00,235.09 V,235.68 V,235.7 V,16.91 A,17 A,16.78 A,5.97 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,5.97 kVAh Abs,1,1,2
27299286,28-05-2023 12:30,235.04 V,236.13 V,236.3 V,16.33 A,16.41 A,16.2 A,5.77 kWh Abs,0.34 kVArh+ Abs,0 kVArh- Abs,5.78 kVAh Abs,0.998,1,2
27299286,28-05-2023 13:00,235.75 V,236.01 V,236.06 V,18.47 A,18.57 A,18.35 A,6.53 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.54 kVAh Abs,0.998,1,2
27299286,28-05-2023 13:30,236.5 V,236.43 V,237.47 V,17.76 A,17.88 A,17.65 A,6.3 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.31 kVAh Abs,0.998,1,2
27299286,28-05-2023 14:00,235.7 V,236.18 V,237.31 V,20.33 A,20.44 A,20.19 A,7.21 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,7.21 kVAh Abs,1,1,2
27299286,28-05-2023 14:30,234.17 V,234.65 V,235.82 V,17.05 A,17.14 A,16.91 A,5.99 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.01 kVAh Abs,0.997,1,2
27299286,28-05-2023 15:00,233.87 V,234.4 V,235.67 V,13.73 A,13.83 A,13.61 A,4.83 kWh Abs,0.35 kVArh+ Abs,0 kVArh- Abs,4.83 kVAh Abs,1,1,2
27299286,28-05-2023 15:30,233.28 V,235.66 V,236.26 V,11.77 A,11.85 A,11.63 A,4.12 kWh Abs,0.37 kVArh+ Abs,0 kVArh- Abs,4.15 kVAh Abs,0.993,1,2
27299286,28-05-2023 16:00,233.05 V,235.24 V,235.68 V,9.12 A,9.19 A,9:00 AM,3.19 kWh Abs,0.39 kVArh+ Abs,0 kVArh- Abs,3.21 kVAh Abs,0.994,1,2
27299286,28-05-2023 16:30,234.73 V,236.6 V,237.43 V,7.78 A,7.89 A,7.66 A,2.72 kWh Abs,0.41 kVArh+ Abs,0 kVArh- Abs,2.76 kVAh Abs,0.986,1,2
27299286,28-05-2023 17:00,235.02 V,236.5 V,237.09 V,5.51 A,5.62 A,5.38 A,1.91 kWh Abs,0.43 kVArh+ Abs,0 kVArh- Abs,1.95 kVAh Abs,0.979,1,2
27299286,28-05-2023 17:30,234.41 V,236.22 V,236.71 V,2.89 A,3.02 A,2.78 A,0.92 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,1.02 kVAh Abs,0.902,1,2
27299286,28-05-2023 18:00,234.14 V,235.8 V,236.85 V,2.63 A,2.76 A,2.55 A,0.82 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,0.94 kVAh Abs,0.872,1,2
27299286,28-05-2023 18:30,234.47 V,236.12 V,236.99 V,1.75 A,1.96 A,1.76 A,0.44 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.65 kVAh Abs,0.677,1,2
27299286,28-05-2023 19:00,233.99 V,236.17 V,236.73 V,1.28 A,1.52 A,1.4 A,0.12 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.49 kVAh Abs,0.245,1,2
27299286,28-05-2023 19:30,231.37 V,234.49 V,234.39 V,1.23 A,1.43 A,1.37 A,0.03 kWh Abs,0.07 kVArh+ Abs,0.4 kVArh- Abs,0.04 kVAh Abs,-0.75,1,2
27299286,28-05-2023 20:00,229.85 V,233.23 V,233.12 V,0.22 A,0.22 A,0.22 A,0.01 kWh Abs,0 kVArh+ Abs,0.08 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 20:30,230.5 V,232.47 V,232.2 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 21:00,229.11 V,231.36 V,231.41 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 21:30,229.67 V,231.72 V,231.77 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 22:00,230.16 V,231.93 V,231.85 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 22:30,229.25 V,231.2 V,231.13 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,28-05-2023 23:00,229.35 V,232.05 V,232.18 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,28-05-2023 23:30,228.96 V,232.1 V,232.25 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 00:00,228.26 V,231.76 V,232.52 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 00:30,228.44 V,231.74 V,232.69 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 01:00,229.7 V,233.3 V,234.05 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 01:30,230.79 V,235 V,235.58 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 02:00,233.19 V,236.69 V,237.49 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 02:30,235.29 V,238.66 V,239.3 V,0.13 A,0.12 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 03:00,237.49 V,240.27 V,240.9 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 03:30,238.54 V,241.32 V,241.85 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 04:00,239.77 V,241.94 V,242.62 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 04:30,240.19 V,242.17 V,242.95 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 05:00,240.39 V,241.86 V,242.6 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 05:30,239.64 V,241.55 V,242.61 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 06:00,239.45 V,241.34 V,242.43 V,1.14 A,1.32 A,1.23 A,0.07 kWh Abs,0.4 kVArh+ Abs,0.05 kVArh- Abs,0.33 kVAh Abs,0.212,1,2
27299286,29-05-2023 06:30,239.59 V,241.51 V,242.1 V,1.64 A,1.9 A,1.68 A,0.39 kWh Abs,0.49 kVArh+ Abs,0 kVArh- Abs,0.63 kVAh Abs,0.619,1,2
27299286,29-05-2023 07:00,238.83 V,240.97 V,241.58 V,2.06 A,2.27 A,2.04 A,0.6 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,0.77 kVAh Abs,0.779,1,2
27299286,29-05-2023 07:30,237.4 V,240.18 V,240.45 V,3.04 A,3.16 A,2.92 A,0.99 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,1.09 kVAh Abs,0.908,1,2
27299286,29-05-2023 08:00,235.73 V,238.57 V,237.95 V,4.29 A,4.36 A,4.14 A,1.45 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.52 kVAh Abs,0.954,1,2
27299286,29-05-2023 08:30,234.75 V,237.44 V,237.2 V,5.57 A,5.64 A,5.42 A,1.92 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.97 kVAh Abs,0.975,1,2
27299286,29-05-2023 09:00,231.83 V,234.41 V,234.19 V,7.1 A,7.17 A,6.94 A,2.44 kWh Abs,0.41 kVArh+ Abs,0 kVArh- Abs,2.47 kVAh Abs,0.988,1,2
27299286,29-05-2023 09:30,229.74 V,232.7 V,232.86 V,11.15 A,11.22 A,10.97 A,3.85 kWh Abs,0.36 kVArh+ Abs,0 kVArh- Abs,3.87 kVAh Abs,0.995,1,2
27299286,29-05-2023 10:00,230.31 V,232.67 V,232.18 V,14.71 A,14.77 A,14.57 A,5.09 kWh Abs,0.34 kVArh+ Abs,0 kVArh- Abs,5.11 kVAh Abs,0.996,1,2
27299286,29-05-2023 10:30,233.06 V,235.36 V,234.32 V,18.44 A,18.49 A,18.27 A,6.47 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,6.47 kVAh Abs,1,1,2
27299286,29-05-2023 11:00,236.3 V,237.62 V,237.67 V,20.87 A,20.95 A,20.7 A,7.41 kWh Abs,0.32 kVArh+ Abs,0 kVArh- Abs,7.42 kVAh Abs,0.999,1,2
27299286,29-05-2023 11:30,236.88 V,237.64 V,237.98 V,22.07 A,22.18 A,21.93 A,7.85 kWh Abs,0.31 kVArh+ Abs,0 kVArh- Abs,7.86 kVAh Abs,0.999,1,2
27299286,29-05-2023 12:00,236.88 V,237.54 V,237.7 V,23.33 A,23.45 A,23.17 A,8.3 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,8.3 kVAh Abs,1,1,2
27299286,29-05-2023 12:30,237.47 V,237.86 V,237.58 V,23.54 A,23.66 A,23.39 A,8.39 kWh Abs,0.3 kVArh+ Abs,0 kVArh- Abs,8.39 kVAh Abs,1,1,2
27299286,29-05-2023 13:00,237.19 V,237.83 V,238.43 V,21.82 A,21.96 A,21.67 A,7.78 kWh Abs,0.3 kVArh+ Abs,0 kVArh- Abs,7.79 kVAh Abs,0.999,1,2
27299286,29-05-2023 13:30,237.08 V,239.15 V,239.63 V,5.63 A,5.76 A,5.52 A,1.96 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,2.02 kVAh Abs,0.97,1,2
27299286,29-05-2023 14:00,236.41 V,237.83 V,238.16 V,4.39 A,4.51 A,4.3 A,1.5 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,1.57 kVAh Abs,0.955,1,2
27299286,29-05-2023 14:30,234.06 V,235.63 V,235.66 V,4.5 A,4.62 A,4.43 A,1.5 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.59 kVAh Abs,0.943,1,2
27299286,29-05-2023 15:00,233.9 V,236.11 V,235.91 V,1.29 A,1.46 A,1.38 A,0.1 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.49 kVAh Abs,0.204,1,2
27299286,29-05-2023 15:30,236.63 V,238.45 V,238.43 V,1.26 A,1.43 A,1.37 A,0.01 kWh Abs,0.49 kVArh+ Abs,0 kVArh- Abs,0.49 kVAh Abs,0.02,1,2
27299286,29-05-2023 16:00,236.59 V,238.45 V,238.05 V,1.5 A,1.66 A,1.57 A,0.24 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,0.56 kVAh Abs,0.429,1,2
27299286,29-05-2023 16:30,238.54 V,239.97 V,239.75 V,3.42 A,3.52 A,3.34 A,1.12 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,1.23 kVAh Abs,0.911,1,2
27299286,29-05-2023 17:00,239.81 V,240.65 V,240.89 V,4.37 A,4.44 A,4.27 A,1.51 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,1.57 kVAh Abs,0.962,1,2
27299286,29-05-2023 17:30,238.94 V,240.17 V,240.7 V,4.25 A,4.34 A,4.14 A,1.45 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,1.53 kVAh Abs,0.948,1,2
27299286,29-05-2023 18:00,238.62 V,240.42 V,240.63 V,2.7 A,2.82 A,2.63 A,0.85 kWh Abs,0.48 kVArh+ Abs,0 kVArh- Abs,0.98 kVAh Abs,0.867,1,2
27299286,29-05-2023 18:30,239.7 V,241.57 V,241.57 V,1.78 A,1.96 A,1.79 A,0.44 kWh Abs,0.49 kVArh+ Abs,0 kVArh- Abs,0.67 kVAh Abs,0.657,1,2
27299286,29-05-2023 19:00,240.35 V,242.08 V,242.24 V,1.35 A,1.57 A,1.45 A,0.16 kWh Abs,0.5 kVArh+ Abs,0 kVArh- Abs,0.53 kVAh Abs,0.302,1,2
27299286,29-05-2023 19:30,238.78 V,240.83 V,240.72 V,1.27 A,1.46 A,1.42 A,0.03 kWh Abs,0.17 kVArh+ Abs,0.33 kVArh- Abs,0.12 kVAh Abs,-0.25,1,2
27299286,29-05-2023 20:00,238.54 V,239.89 V,239.89 V,0.33 A,0.36 A,0.35 A,0.02 kWh Abs,0 kVArh+ Abs,0.12 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 20:30,239.07 V,240.79 V,240.4 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 21:00,237.82 V,239.98 V,240.24 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 21:30,237.93 V,240.04 V,240.44 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 22:00,234.76 V,236.74 V,236.33 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 22:30,233.63 V,235.83 V,236.25 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,29-05-2023 23:00,233.67 V,235.6 V,236.1 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,29-05-2023 23:30,234.29 V,236.91 V,236.41 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,30-05-2023 00:00,234.87 V,237.97 V,238.33 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,30-05-2023 00:30,235.7 V,238.43 V,239.02 V,0.13 A,0.12 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,30-05-2023 01:00,237.26 V,240.29 V,240.45 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,30-05-2023 01:30,238.34 V,241.26 V,241.62 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,30-05-2023 02:00,239.08 V,241.65 V,242.08 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,30-05-2023 02:30,239.56 V,242.68 V,242.66 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,30-05-2023 03:00,240.29 V,243.76 V,243.83 V,0.13 A,0.13 A,0.13 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,30-05-2023 03:30,240.53 V,243.79 V,243.82 V,0.13 A,0.13 A,0.13 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
